Vehicle Plate,State,Current State Since (HH:MM:SS),Device Status,Time,Odometer (km),Engine Hours (hrs),Fuel Level (Lts),Updated On,Adblue Level (Lts),Updated On.1,In Hub,In Hub Since (HH:MM:SS),Closest Hub,Address
HR38AF5353,STOPPED,03:46:07,Connected,October 10 2024 02:12 pm,62736,2098.624722,176,October 10 2024 10:27 am,51,October 10 2024 07:42 am,-,-,0.5 km from SAPL S2,"Unnamed Road, IGSTPP, Haryana 123303, India"
HR38AF2290,STOPPED,00:15:41,Connected,October 10 2024 02:11 pm,57013,2205.656389,403,October 10 2024 01:58 pm,51,October 10 2024 01:43 pm,Ultratech Cement Ltd (Kotputli),05:02:57,-,"Kansli - Koojota Rd, Koojota, Rajasthan 303108, India"
HR38AF8931,STOPPED,03:05:24,Connected,October 10 2024 02:15 pm,58879,2219.322222,300,October 10 2024 11:07 am,51,October 10 2024 11:05 am,Wonder Cement Ltd (Jhanswa),04:12:10,-,"FCF5+F3 IGSTPP, Haryana, India"
HR38AF4133,STOPPED,00:07:44,Connected,October 10 2024 02:05 pm,83384,2863.768333,430,October 10 2024 01:48 pm,36,October 10 2024 01:47 pm,-,-,0 km from GREYLALIT INFRA PRIVATE LIMITED,"Behrampur Rd, Block A, Sector 34, Gurugram, Haryana 122004, India"
HR38AF1295,STOPPED,00:06:58,Connected,October 10 2024 02:11 pm,60335,2193.686667,307,October 10 2024 02:03 pm,27,October 10 2024 02:06 pm,-,-,0.5 km from jk super parking,"Unnamed Road, IGSTPP, Haryana 123303, India"
HR38AE1979,IDLING,00:02:01,Connected,October 10 2024 02:15 pm,60638,2743.244167,181,October 10 2024 02:14 pm,48,October 09 2024 10:55 pm,SAPL S2,00:19:14,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38AE0895,STOPPED,09:45:53,Connected,October 10 2024 02:14 pm,84108,2946.949722,116,October 10 2024 04:25 am,51,October 10 2024 04:24 am,-,-,0.2 km from SAPL S2,"Jharli - Mohanbari Rd, Mohanbari, Haryana 123303, India"
HR38AE6484,STOPPED,08:55:05,Connected,October 10 2024 02:07 pm,74571,2650.741111,194,October 09 2024 05:13 pm,24,October 09 2024 04:06 pm,SAPL parking,22:01:33,-,"F9PQ+7J IGSTPP, Haryana, India"
HR38AE2847,STOPPED,07:08:42,Connected,October 10 2024 02:12 pm,68720,2363.480556,332,October 10 2024 07:03 am,50,October 10 2024 12:44 am,-,-,0.1 km from Yug Enterprises (Samalkha),"Gali No 2, Janki Das Colony, D Block, Samalka, New Delhi, Delhi 110037, India"
HR38AE5589,STOPPED,02:16:50,Connected,October 10 2024 02:10 pm,70777,2822.428611,331,October 10 2024 11:36 am,34,October 10 2024 11:31 am,ESPIRIT MOTORS,96:12:16,-,"Mathura Rd, Atoha, Haryana 121105, India"
